playername,team,flag_reason,metric,metric_value,last_test_date
PLAYER_001,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2395,2024-05-01 17:03:13
PLAYER_002,Team: Stony Brook Men's Basketball ,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.0798,2025-07-07 11:58:04
PLAYER_006,Team: Stony Brook Women's Volleyball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.144,2024-11-06 21:16:20
PLAYER_007,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.287,2025-07-14 12:35:13
PLAYER_009,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2799,2025-01-18 18:43:51
PLAYER_019,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2548,2025-10-14 12:40:09
PLAYER_026,"Group: MSOC 21-22, Team: Stony Brook Men's Soccer",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.1186,2022-04-27 17:09:39
PLAYER_027,"Group: Men's Basketball, Group: Men's Basketball, Team: Stony Brook",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.1902,2021-03-30 18:18:26
PLAYER_028,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2545,2025-10-14 12:39:38
PLAYER_034,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2791,2025-01-18 18:47:40
PLAYER_036,Team: Stony Brook Women's Volleyball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.269,2022-07-29 11:13:36
PLAYER_039,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2004,2025-01-18 18:42:41
PLAYER_040,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2756,2025-01-18 18:46:13
PLAYER_042,"Group: Women's Basketball, Team: Stony Brook Women's Basketball",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2598,2025-09-19 14:49:30
PLAYER_043,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2162,2024-05-07 16:34:25
PLAYER_049,Team: Stony Brook Softball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2343,2020-11-16 21:06:23
PLAYER_050,"Group: WLAX , Team: SBU WLAX",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.251,2023-09-26 13:40:05
PLAYER_052,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.0554,2023-10-24 17:51:15
PLAYER_053,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2987,2025-07-14 12:33:42
PLAYER_054,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2461,2025-01-18 18:43:08
PLAYER_057,"Group: Athletic Performance Staff, Team: Stony Brook",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.0657,2022-03-21 12:59:01
PLAYER_060,Team: Stony Brook Softball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2804,2024-04-30 19:40:02
PLAYER_061,Team: Stony Brook Softball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2736,2024-03-11 19:39:17
PLAYER_063,Player Not Found,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.0833,2025-09-19 14:47:23
PLAYER_065,Team: Stony Brook Women's Basketball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2629,2022-08-24 16:30:21
PLAYER_067,Team: Stony Brook Women's Tennis,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2838,2020-11-12 11:54:54
PLAYER_069,Team: Stony Brook,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2667,2022-07-06 10:42:24
PLAYER_070,"Group: Athletic Performance Staff, Team: Stony Brook",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2325,2018-10-31 16:05:24
PLAYER_078,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2339,2025-01-27 12:41:59
PLAYER_081,Team: SBU WLAX,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2504,2025-01-18 18:39:28
PLAYER_083,Team: SBU WLAX,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2807,2025-01-18 18:51:07
PLAYER_086,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2433,2024-04-23 17:14:15
PLAYER_087,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2899,2019-08-06 10:52:05
PLAYER_088,"Group: msoc, Team: Stony Brook Women's Basketball",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2817,2023-03-06 18:17:34
PLAYER_1002,Team: Stony Brook Softball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.239,2025-10-08 20:32:07
PLAYER_1003,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.0965,2022-07-18 12:08:18
PLAYER_1004,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.23,2022-02-10 14:17:41
PLAYER_1006,"Group: WLAX , Group: WLAX Spring '24, Team: SBU WLAX",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2677,2024-05-07 16:40:22
PLAYER_1012,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2367,2019-08-06 10:57:20
PLAYER_1012,Team: Stony Brook Womens Soccer,Peak Propulsive Force < 1200 N (below performance standard),Peak Propulsive Force(N),1168.75,2019-08-06 10:57:20
PLAYER_1015,"Group: msoc, Team: Stony Brook Women's Basketball",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2172,2021-09-08 11:08:59
PLAYER_1023,Team: SBU WLAX,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2886,2022-03-08 14:51:51
PLAYER_1024,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2443,2023-02-16 13:32:26
PLAYER_103,Team: Stony Brook Women's Tennis,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.1613,2024-04-23 14:14:34
PLAYER_1042,Team: Stony Brook Softball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2509,2020-11-16 21:03:45
PLAYER_1046,Team: SBU WLAX,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.1712,2025-01-18 18:36:46
PLAYER_1054,Team: SBU WLAX,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2738,2025-01-18 18:46:49
PLAYER_1054,Team: SBU WLAX,Peak Propulsive Force < 1200 N (below performance standard),Peak Propulsive Force(N),1094.0,2025-01-18 18:46:49
PLAYER_106,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2653,2022-02-24 14:05:27
PLAYER_1064,"Team: Stony Brook, Team: Stony Brook Football",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2756,2024-03-19 12:17:06
PLAYER_1078,Team: Stony Brook Women's Volleyball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.288,2020-11-13 17:10:36
PLAYER_1089,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2936,2025-07-14 12:35:47
PLAYER_1094,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2906,2025-07-14 11:13:08
PLAYER_1095,Team: Stony Brook Women's Basketball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2517,2025-09-08 15:12:30
PLAYER_1098,Team: Stony Brook Women's Tennis,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2477,2024-11-08 14:00:52
PLAYER_1099,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2626,2025-10-14 12:38:17
PLAYER_1099,Team: Stony Brook Swimming and Diving,Peak Propulsive Force < 1200 N (below performance standard),Peak Propulsive Force(N),1182.0,2025-10-14 12:38:17
PLAYER_110,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2042,2022-04-25 14:41:32
PLAYER_1101,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2967,2025-01-09 13:28:08
PLAYER_1103,Team: Stony Brook Women's Tennis,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2259,2020-11-12 11:58:58
PLAYER_112,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2294,2025-01-27 12:36:58
PLAYER_1120,"Group: MSOC 21-22, Team: Stony Brook Men's Soccer",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2647,2022-08-10 14:22:58
PLAYER_1127,Team: Stony Brook Women's Basketball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.1908,2022-08-02 17:03:52
PLAYER_1131,Team: SBU WLAX,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.142,2022-08-25 13:18:35
PLAYER_1138,Team: Stony Brook Softball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2741,2020-11-16 22:00:35
PLAYER_1139,"Group: 2023-2024 WBB, Group: Women's Basketball, Team: Stony Brook Women's Basketball",Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2662,2024-03-11 17:13:50
PLAYER_114,Team: Stony Brook Softball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2439,2020-11-16 21:58:51
PLAYER_1140,Team: Stony Brook,Peak Propulsive Force < 1200 N (below performance standard),Peak Propulsive Force(N),1023.0,2018-10-31 16:43:18
PLAYER_1144,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.1229,2022-07-18 12:00:19
PLAYER_1147,Team: SBU WLAX,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.226,2022-03-03 15:08:14
PLAYER_1148,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.1979,2019-08-06 10:57:05
PLAYER_1149,Player Not Found,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2835,2024-04-30 19:42:33
PLAYER_115,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2652,2025-07-14 11:15:06
PLAYER_1150,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.1964,2019-08-06 10:54:50
PLAYER_1151,Team: Stony Brook Softball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2747,2020-11-16 21:59:31
PLAYER_1152,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2797,2025-07-14 11:10:34
PLAYER_1153,Player Not Found,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2797,2025-04-29 19:32:59
PLAYER_1156,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.1671,2019-08-06 10:51:30
PLAYER_1159,Team: SBU WLAX,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.1821,2022-11-15 14:15:04
PLAYER_1161,Team: Stony Brook Swimming and Diving,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2408,2024-01-18 14:09:31
PLAYER_1166,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2277,2019-08-06 10:55:20
PLAYER_1170,Team: Stony Brook Softball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.263,2020-11-16 21:56:43
PLAYER_1172,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2654,2025-07-14 11:15:46
PLAYER_1198,Team: Stony Brook Womens Soccer,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2489,2025-07-14 11:12:00
PLAYER_120,Team: Stony Brook Softball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2512,2025-10-08 20:38:24
PLAYER_1211,Team: Old Football,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2844,2021-05-05 12:47:11
PLAYER_1215,Team: Stony Brook Women's Basketball,Jump Height < 0.30 m (below performance standard),Jump Height(m),0.2585,2019-06-06 18:03:55
